id,current_age,retirement_age,birth_year,birth_month,gender,address,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
825,53,66,1966,11,Female,"126 Main Road, Durban",527004,1074528,2297034,787,5
1746,53,68,1966,12,Female,"254 Van der Merwe Avenue, Cape Town",682038,1390572,3444282,701,5
1718,81,67,1938,11,Female,"856 King George Street, Pietermaritzburg",408258,602694,3528,698,5
708,63,63,1957,1,Female,"565 Pretoria Street, Durban",2936610,4498650,3641904,722,4
1164,43,70,1976,9,Male,"269 Swart Street, Pretoria",968346,1974366,3309390,675,1
68,42,70,1977,10,Male,"121 Church Street, Gqeberha",370782,755946,0,704,3
1075,36,67,1983,12,Female,"466 King George Street, Cape Town",454644,927000,1841148,672,3
1711,26,67,1993,12,Male,"227 Durban Road, Durban",482220,983214,2064798,728,1
1116,81,66,1938,7,Female,"116 Queen Street, Pietermaritzburg",472914,765162,52110,755,5
1752,34,60,1986,1,Female,"215 Johannesburg Road, Durban",337140,687420,1462716,810,1
192,27,66,1992,6,Male,"586 Johannesburg Road, Pietermaritzburg",495864,1010952,274032,761,2
640,29,63,1990,9,Female,"709 Swart Street, East London",403686,823086,1692288,629,1
1679,18,67,2002,1,Female,"801 Jan Smuts Avenue, Pietermaritzburg",610452,1244682,1605852,776,1
1094,34,62,1985,10,Male,"997 Cape Road, Gqeberha",365850,745956,1418994,712,3
1590,48,62,1971,5,Female,"78 Queen Street, Cape Town",181062,369234,585162,599,1
1660,41,68,1978,4,Female,"400 Swart Street, Johannesburg",204156,416214,91422,723,6
1747,54,71,1966,1,Male,"67 Nelson Mandela Drive, Cape Town",322164,656946,689994,719,6
153,76,71,1943,8,Female,"318 Van der Merwe Avenue, Johannesburg",395100,494712,302454,660,4
429,22,68,1997,11,Male,"54 Jan Smuts Avenue, East London",476658,971910,1603008,683,3
511,66,68,1953,10,Male,"179 Victoria Road, Pietermaritzburg",314280,640836,996642,661,5
309,28,57,1991,8,Male,"442 Victoria Road, Durban",221778,452196,777690,819,3
777,18,65,2002,1,Male,"896 Church Street, Pietermaritzburg",1913490,3901320,0,700,2
1946,76,66,1943,6,Male,"510 Jan Smuts Avenue, Bloemfontein",351432,739962,386748,698,2
1674,70,64,1949,4,Male,"156 Jan Smuts Avenue, East London",255096,483444,202410,712,2
482,45,65,1975,1,Male,"515 Jan Smuts Avenue, Cape Town",308358,628722,1149282,714,1
877,36,63,1983,8,Female,"38 Market Street, Durban",302922,617706,1112868,610,3
128,40,66,1979,4,Female,"994 Voortrekker Road, East London",277002,564786,1073070,722,2
775,37,58,1982,9,Male,"306 Van der Merwe Avenue, Durban",385236,785484,1872936,627,1
1536,41,67,1978,11,Male,"314 Queen Street, Pietermaritzburg",287190,585558,688680,766,2
140,37,72,1983,2,Female,"687 King George Street, Cape Town",371826,758160,1310418,739,4
1884,18,64,2001,5,Male,"571 Johannesburg Road, East London",505656,1031058,1604052,850,1
1874,49,66,1970,9,Male,"446 Main Road, Cape Town",338904,691020,1582614,783,4
1310,33,69,1986,9,Female,"318 Voortrekker Road, Pietermaritzburg",314964,642060,1047276,751,2
1689,21,66,1998,9,Female,"782 Queen Street, Cape Town",545058,1111428,2786706,637,2
379,47,65,1972,11,Female,"87 Voortrekker Road, East London",383958,782928,2062134,765,3
34,41,55,1978,8,Male,"517 Queen Street, Durban",457758,933372,1298916,737,2
822,51,68,1968,4,Female,"32 Voortrekker Road, Pretoria",304956,621720,407538,793,5
1499,46,62,1973,11,Male,"676 Durban Road, East London",364464,743166,1586718,662,1
1780,46,70,1973,10,Male,"572 Main Road, Pietermaritzburg",335934,684972,1139274,666,1
1806,59,62,1961,2,Female,"808 King George Street, Gqeberha",709524,1446678,1952982,822,1
811,91,68,1929,2,Female,"183 King George Street, East London",929556,1524492,38682,741,7
1844,79,72,1941,2,Male,"882 Market Street, East London",424944,675054,256896,706,5
1852,57,75,1962,12,Male,"963 Main Road, Pretoria",577008,1176426,393192,685,4
1231,26,52,1994,1,Female,"503 Voortrekker Road, Gqeberha",194742,397188,701406,842,1
970,42,66,1977,11,Male,"503 Johannesburg Road, Gqeberha",394488,804258,756198,770,3
381,26,69,1994,2,Male,"980 Johannesburg Road, Johannesburg",452934,923508,1227564,675,1
1134,18,59,2002,2,Female,"321 Durban Road, East London",228186,465246,834822,568,1
1296,60,64,1959,11,Female,"289 Durban Road, Gqeberha",412128,840294,1676268,788,5
1880,61,66,1958,11,Male,"376 Victoria Road, Gqeberha",278766,568422,943542,771,3
